neighbourhood,total_listings,commercial_listings,pct_commercial
City of London,424,122,28.77
Westminster,7763,1179,15.19
Harrow,444,66,14.86
Hillingdon,714,92,12.89
Kensington and Chelsea,4612,566,12.27
Hounslow,1078,130,12.06
Havering,329,39,11.85
Bexley,411,47,11.44
Barnet,1611,179,11.11
Camden,4707,508,10.79
Barking and Dagenham,433,43,9.93
Brent,2068,204,9.86
Croydon,1066,102,9.57
Redbridge,669,60,8.97
Enfield,617,55,8.91
Newham,1682,139,8.26
Tower Hamlets,5595,407,7.27
Greenwich,1514,109,7.2
Hammersmith and Fulham,2996,212,7.08
Ealing,1553,94,6.05
Islington,3790,217,5.73
Kingston upon Thames,609,33,5.42
Waltham Forest,1322,68,5.14
Wandsworth,3473,172,4.95
Southwark,3968,186,4.69
Bromley,594,27,4.55
Richmond upon Thames,1108,50,4.51
Hackney,5168,222,4.3
Lewisham,2016,81,4.02
Merton,1114,44,3.95
Haringey,1898,68,3.58
Lambeth,3719,125,3.36
Sutton,286,5,1.75
