neighbourhood,n_listings,median_price,mean_price,p25_price,p75_price,std_price
City of London,421,196.0,237.62,130.0,279.0,168.95
Kensington and Chelsea,4532,182.0,257.55,114.75,300.25,239.85
Westminster,7659,176.0,258.73,100.0,320.0,251.27
Camden,4678,124.0,170.5,76.0,200.0,168.26
Hammersmith and Fulham,2968,110.0,161.55,65.0,186.25,178.23
Richmond upon Thames,1099,100.0,142.7,65.0,170.5,139.85
Islington,3762,99.0,131.72,60.0,150.0,140.85
Wandsworth,3442,99.0,142.89,60.0,170.0,153.35
Southwark,3951,95.0,187.33,55.0,165.0,318.54
Hackney,5153,86.0,115.98,50.0,140.0,117.53
Lambeth,3706,86.0,120.49,50.0,148.75,122.74
Brent,2064,85.0,198.7,50.0,170.0,350.13
Merton,1104,85.0,126.27,49.0,154.25,130.82
Tower Hamlets,5579,85.0,119.76,49.0,150.0,120.8
Hounslow,1074,80.0,153.28,45.0,150.0,261.95
Barnet,1609,80.0,148.51,45.0,150.0,244.55
Greenwich,1511,80.0,124.64,45.0,150.0,185.34
Newham,1677,76.0,127.48,40.0,156.0,145.36
Harrow,443,75.0,95.86,42.5,118.0,83.7
Kingston upon Thames,580,75.0,115.83,47.75,139.25,154.07
Waltham Forest,1321,70.0,93.27,42.0,120.0,91.99
Ealing,1549,70.0,108.08,41.0,125.0,125.17
Bromley,593,70.0,102.81,43.0,119.0,120.22
Haringey,1864,70.0,108.01,40.0,120.0,159.58
Havering,327,69.0,100.61,44.0,129.5,105.91
Hillingdon,714,68.0,98.27,45.0,123.25,103.9
Enfield,616,65.0,93.03,40.0,120.0,78.9
Lewisham,2011,65.0,88.98,40.0,110.0,93.48
Redbridge,668,62.0,107.99,40.0,120.0,143.16
Barking and Dagenham,432,60.0,92.0,40.0,120.0,78.21
Croydon,1066,60.0,82.56,36.0,100.0,86.43
Bexley,411,60.0,89.69,39.0,112.5,87.16
Sutton,286,60.0,84.67,39.0,108.75,75.35
